Slide #	Image #	Count 	Concentration (VLP/mL)	Sample mass (g)	Field of view (sq. um)	6581.54
1	1	182	1738594797	0.1	Cover glass	484000000
1	2	193	1843674702		Multiplier 	73539.01974
1	3	175	1671725766		Adjustment for dilution from antifade and dye 	1.299
1	4	101	964824585.1		Volume (uL)	10
1	5	173	1652620329			
2	6	129	1232300708			
2	7	195	1862780140			
2	8	157	1499776830			
2	10	205	1958307326			
3	11	123	1174984396			
3	12	146	1394696925			
3	13	285	2722524819			
3	14	154	1471118674			
3	15	139	1327827894		463996433.4	
4	16	106	1012588178			
4	17	242	2311757917		ymin	1078013469
4	18	144	1375591488		ymax	2006006336
4	19	115	1098562646			
4	20	103	983930022.5			
	Average		1542009902			
	Standard Dev		463996433.4			
	CV		0.3009036665			
			30.09%			
