Slide #	Image #	Count 	Concentrated (VLP/mL)	Non concentrated (VLP/mL) 		Field of view (sq. um)	6581.54
1	1	155	1481811248	9878741.652		Cover glass	484000000
1	2	162	1548731756	10324878.37		Multiplier 	73539.01974
1	3	131	1252369506	8349130.041		Adjustment for dilution from antifade and dye 	1.3
1	4	114	1089848273	7265655.151		Volume (uL)	10
1	5	180	1720813062	11472087.08			
2	6	189	1806853715	12045691.43			
2	7	138	1319290014	8795266.761			
2	8	148	1414890740	9432604.932			
2	9	108	1032487837	6883252.248			
2	10	137	1309729942	8731532.944			
3	11	118	1128088563	7520590.419			
3	12	145	1386210522	9241403.481			
3	13	194	1854654078	12364360.52		2686198.825	
5	22	208	1988495094	13256633.96			
5	23	215	2055415602	13702770.68		ymin 	8010460.146
5	24	256	2447378577	16315857.18		ymax	13382857.8
5	25	222	2122336110	14148907.4			
5	26	201	1921574586	12810497.24			
	Average 			10696658.97			
	Standard Dev			2686198.825			
	CV			0.2511250319			
				25.11%			
